1;55.0;721.0;;2,80
2;207.0;708.0;1,83;3
3;374.0;690.0;2,85;4
4;516.0;693.0;3,87;5
5;668.0;698.0;4,89;6
6;766.0;705.0;5,91;7
7;858.0;704.0;6,93;8
8;913.0;692.0;7;9
9;947.0;680.0;8;10
10;983.0;661.0;9;11
11;989.0;635.0;10;12
12;994.0;602.0;11;13
13;995.0;563.0;12;14
14;995.0;522.0;13;15
15;996.0;437.0;14;16
17;992.0;284.0;16,120;18
16;999.0;339.0;15;17
19;960.0;173.0;18;20
18;984.0;233.0;17;19
21;882.0;80.0;20,122;22
20;931.0;126.0;19;21
23;751.0;36.0;22,116;24
22;841.0;55.0;21;23
25;568.0;56.0;24;26
24;639.0;36.0;23,118;25
27;374.0;99.0;26,97,132,134,136,138,140,142,144,146;28,148,149,150
26;462.0;74.0;25;27
29;209.0;134.0;28,114;30,163
28;304.0;111.0;27;29
31;60.0;229.0;30,126,163;32
30;119.0;165.0;29,124,154;31
34;54.0;476.0;33,163;35
35;110.0;522.0;34,163;36
32;41.0;320.0;31,163;33
33;35.0;406.0;32,163;34
38;390.0;598.0;37;39
39;518.0;599.0;38,95,128,130;40
36;199.0;577.0;35,163;37
37;279.0;594.0;36,112;38
42;727.0;551.0;41;43
43;741.0;505.0;42;44
40;610.0;598.0;39;41
41;686.0;577.0;40;42
46;819.0;430.0;45;47
47;855.0;432.0;46;48
44;762.0;461.0;43;45
45;783.0;437.0;44;46
51;925.0;559.0;50;52
50;920.0;513.0;49;51
49;916.0;472.0;48;50
48;891.0;445.0;47;49
55;804.0;642.0;54;56
54;849.0;635.0;53;55
53;884.0;617.0;52;54
52;910.0;595.0;51;53
59;248.0;647.0;58;60
58;629.0;651.0;57;59
57;704.0;654.0;56;58
56;752.0;654.0;55;57
63;86.0;608.0;62;64
62;114.0;632.0;61;63
61;150.0;654.0;60;62
60;190.0;658.0;59;61
68;13.0;608.0;67;69
69;14.0;627.0;68;70
70;14.0;644.0;69;71
71;13.0;660.0;70;72
64;64.0;579.0;63;65
65;33.0;568.0;64;66
66;13.0;575.0;65;67
67;13.0;591.0;66;68
76;27.0;737.0;75;77
77;37.0;748.0;76;78
78;57.0;750.0;77;79
79;73.0;746.0;78;81
72;7.0;675.0;71;73
73;5.0;694.0;72;74
74;8.0;712.0;73;75
75;15.0;726.0;74;76
85;248.0;749.0;;3
87;401.0;747.0;;4
81;89.0;746.0;79;80
80;51.0;712.0;1,81;83
83;133.0;742.0;80;2
93;793.0;756.0;;7
95;415.0;561.0;;39
89;562.0;744.0;;5
91;631.0;741.0;;6
102;340.0;208.0;101,150;103
103;282.0;223.0;102;104
100;403.0;205.0;99;101
101;360.0;201.0;100;102
99;465.0;203.0;;100
97;481.0;133.0;;27
110;215.0;495.0;109;111
111;225.0;522.0;110;112
108;204.0;415.0;107,163;109
109;208.0;466.0;108,163;110
106;212.0;337.0;105,163;107
107;212.0;354.0;106;108
104;274.0;236.0;103;105
105;240.0;285.0;104;106
118;697.0;62.0;;24
116;773.0;120.0;;23
114;288.0;152.0;148;29
112;256.0;558.0;111;37
126;68.0;133.0;;31
124;153.0;29.0;159;30,159
122;888.0;193.0;;21
120;932.0;368.0;;17
136;426.0;26.0;;27
138;489.0;102.0;;27
140;523.0;134.0;;27
142;621.0;97.0;;27
128;413.0;501.0;;39
130;427.0;629.0;;39
132;491.0;50.0;;27
134;459.0;33.0;;27
153;167.0;104.0;149,156;154
154;148.0;123.0;153;30
156;244.0;29.0;161;153,158
158;195.0;16.0;156;159
159;178.0;13.0;124,158;124
144;391.0;19.0;;27
146;599.0;137.0;;27
148;326.0;141.0;27;114
149;278.0;75.0;27;153
150;365.0;164.0;27;102
163;146.0;224.0;29;31,34,35,32,33,36,108,109,106
161;345.0;33.0;;156
