1;188.0;409.0;26;2
2;192.0;369.0;1;3
3;212.0;334.0;2;4
4;227.0;294.0;3,30;5
5;269.0;263.0;4;6
6;318.0;234.0;5;7
7;373.0;220.0;6;8
8;430.0;216.0;7;9
9;465.0;223.0;8;10
10;516.0;236.0;9;11
11;547.0;278.0;10;12
12;574.0;328.0;11;13
13;584.0;401.0;12;14
14;590.0;466.0;13;15
15;580.0;508.0;14;16
17;514.0;574.0;16;18
16;553.0;554.0;15,28;17
19;419.0;594.0;18;20
18;472.0;590.0;17;19
21;332.0;587.0;20;22
20;371.0;588.0;19;21
23;264.0;540.0;22;24
22;301.0;566.0;21;23
25;221.0;483.0;24;26
24;239.0;511.0;23;25
26;199.0;454.0;25;1
28;657.0;550.0;;16
30;103.0;306.0;;4
